Reporting Period,Permissions,Chart Feature 1,Chart Feature 2,GBP Value,Ratio,Chart,Year
2024Q4,Non-Life,Total SCR,NA,41867703000,NA,Chart 1.1,2024
2024Q4,Non-Life,SCRCapital_Coverage,NA,NA,208.6689374104429,Chart 1.1,2024
2025Q1,Life,Total eligible own funds to meet SCR,NA,94119792000,NA,Chart 1.1,2025
2025Q1,Life,Total SCR,NA,49763741000,NA,Chart 1.1,2025
2025Q1,Life,SCRCapital_Coverage,NA,NA,189.1332724328599,Chart 1.1,2025
2025Q1,Non-Life,Total eligible own funds to meet SCR,NA,81647342000,NA,Chart 1.1,2025
2025Q1,Non-Life,Total SCR,NA,43149284000,NA,Chart 1.1,2025
2025Q1,Non-Life,SCRCapital_Coverage,NA,NA,189.22061708929442,Chart 1.1,2025
2025Q2,Life,Total eligible own funds to meet SCR,NA,93970147000,NA,Chart 1.1,2025
2025Q2,Life,Total SCR,NA,50603601000,NA,Chart 1.1,2025
2025Q2,Life,SCRCapital_Coverage,NA,NA,185.698539490824,Chart 1.1,2025
2025Q2,Non-Life,Total eligible own funds to meet SCR,NA,84471913000,NA,Chart 1.1,2025
2025Q2,Non-Life,Total SCR,NA,42102724000,NA,Chart 1.1,2025
2025Q2,Non-Life,SCRCapital_Coverage,NA,NA,200.63289491553354,Chart 1.1,2025
2025Q3,Life,Total eligible own funds to meet SCR,NA,94226288000,NA,Chart 1.1,2025
2025Q3,Life,Total SCR,NA,50796204000,NA,Chart 1.1,2025
2025Q3,Life,SCRCapital_Coverage,NA,NA,185.49868005969213,Chart 1.1,2025
2025Q3,Non-Life,Total eligible own funds to meet SCR,NA,90570125000,NA,Chart 1.1,2025
2025Q3,Non-Life,Total SCR,NA,43829163000,NA,Chart 1.1,2025
2025Q3,Non-Life,SCRCapital_Coverage,NA,NA,206.6435208095568,Chart 1.1,2025
2025Q4,Life,Total eligible own funds to meet SCR,NA,94285366000,NA,Chart 1.1,2025
2025Q4,Life,Total SCR,NA,50394380000,NA,Chart 1.1,2025
2025Q4,Life,SCRCapital_Coverage,NA,NA,187.0950015828423,Chart 1.1,2025
2025Q4,Non-Life,Total eligible own funds to meet SCR,NA,92425227000,NA,Chart 1.1,2025
2025Q4,Non-Life,Total SCR,NA,43935961000,NA,Chart 1.1,2025
2025Q4,Non-Life,SCRCapital_Coverage,NA,NA,210.36350440975093,Chart 1.1,2025
2017Q1,Life,NA,25%,NA,143.16401304447436,Chart 1.2,2017
2017Q1,Life,NA,50%,NA,178.5199915674652,Chart 1.2,2017
2017Q1,Life,NA,75%,NA,283.2461607091459,Chart 1.2,2017
2017Q1,Non-Life,NA,25%,NA,142.6124470917768,Chart 1.2,2017
2017Q1,Non-Life,NA,50%,NA,198.75043195023932,Chart 1.2,2017
2017Q1,Non-Life,NA,75%,NA,314.3143874021304,Chart 1.2,2017
2017Q2,Life,NA,25%,NA,147.8979629690963,Chart 1.2,2017
2017Q2,Life,NA,50%,NA,184.02110656011453,Chart 1.2,2017
2017Q2,Life,NA,75%,NA,297.8844327956455,Chart 1.2,2017
2017Q2,Non-Life,NA,25%,NA,145.93811085976833,Chart 1.2,2017
2017Q2,Non-Life,NA,50%,NA,209.37482918947015,Chart 1.2,2017
2017Q2,Non-Life,NA,75%,NA,319.6655760458783,Chart 1.2,2017
2017Q3,Life,NA,25%,NA,148.2767956445977,Chart 1.2,2017
2017Q3,Life,NA,50%,NA,190.56489614901454,Chart 1.2,2017
2017Q3,Life,NA,75%,NA,302.88705796313025,Chart 1.2,2017
2017Q3,Non-Life,NA,25%,NA,144.75806419616822,Chart 1.2,2017
2017Q3,Non-Life,NA,50%,NA,202.05671504045864,Chart 1.2,2017
2017Q3,Non-Life,NA,75%,NA,331.9318985285363,Chart 1.2,2017
2017Q4,Life,NA,25%,NA,150.47872235391674,Chart 1.2,2017
2017Q4,Life,NA,50%,NA,182.68479681529888,Chart 1.2,2017
2017Q4,Life,NA,75%,NA,313.9622930970828,Chart 1.2,2017
2017Q4,Non-Life,NA,25%,NA,144.60845923114044,Chart 1.2,2017
2017Q4,Non-Life,NA,50%,NA,200.44824713751882,Chart 1.2,2017
2017Q4,Non-Life,NA,75%,NA,365.5088133630534,Chart 1.2,2017
2018Q1,Life,NA,25%,NA,154.08859712415014,Chart 1.2,2018
2018Q1,Life,NA,50%,NA,182.68479681529888,Chart 1.2,2018
2018Q1,Life,NA,75%,NA,342.73544027111456,Chart 1.2,2018
2018Q1,Non-Life,NA,25%,NA,142.19490148946653,Chart 1.2,2018
2018Q1,Non-Life,NA,50%,NA,190.99642918451406,Chart 1.2,2018
2018Q1,Non-Life,NA,75%,NA,369.00365026095164,Chart 1.2,2018
2018Q2,Life,NA,25%,NA,161.88460671892116,Chart 1.2,2018
2018Q2,Life,NA,50%,NA,189.7437971865882,Chart 1.2,2018
2018Q2,Life,NA,75%,NA,305.33705693115115,Chart 1.2,2018
2018Q2,Non-Life,NA,25%,NA,144.53651217074332,Chart 1.2,2018
2018Q2,Non-Life,NA,50%,NA,194.13744266058592,Chart 1.2,2018
2018Q2,Non-Life,NA,75%,NA,362.489673228762,Chart 1.2,2018
2018Q3,Life,NA,25%,NA,160.94250599199316,Chart 1.2,2018
2018Q3,Life,NA,50%,NA,188.65097323397072,Chart 1.2,2018
2018Q3,Life,NA,75%,NA,302.0298941195427,Chart 1.2,2018
2018Q3,Non-Life,NA,25%,NA,141.74383193954202,Chart 1.2,2018
2018Q3,Non-Life,NA,50%,NA,196.08388217959265,Chart 1.2,2018
2018Q3,Non-Life,NA,75%,NA,367.17324381617334,Chart 1.2,2018
2018Q4,Life,NA,25%,NA,148.57747162157636,Chart 1.2,2018
2018Q4,Life,NA,50%,NA,179.17241846371098,Chart 1.2,2018
2018Q4,Life,NA,75%,NA,287.9523810452703,Chart 1.2,2018
2018Q4,Non-Life,NA,25%,NA,144.344499878445,Chart 1.2,2018
2018Q4,Non-Life,NA,50%,NA,203.20018002344636,Chart 1.2,2018
2018Q4,Non-Life,NA,75%,NA,355.70057183293096,Chart 1.2,2018
2019Q1,Life,NA,25%,NA,145.0293921801484,Chart 1.2,2019
2019Q1,Life,NA,50%,NA,176.31709331131296,Chart 1.2,2019
2019Q1,Life,NA,75%,NA,270.35035459923967,Chart 1.2,2019
2019Q1,Non-Life,NA,25%,NA,154.67928962715044,Chart 1.2,2019
2019Q1,Non-Life,NA,50%,NA,203.20018002344636,Chart 1.2,2019
2019Q1,Non-Life,NA,75%,NA,336.499409815104,Chart 1.2,2019
2019Q2,Life,NA,25%,NA,144.34682014890032,Chart 1.2,2019
2019Q2,Life,NA,50%,NA,170.24574223566157,Chart 1.2,2019
2019Q2,Life,NA,75%,NA,296.08274130370705,Chart 1.2,2019
2019Q2,Non-Life,NA,25%,NA,155.23179004177732,Chart 1.2,2019
2019Q2,Non-Life,NA,50%,NA,208.89965059825815,Chart 1.2,2019
2019Q2,Non-Life,NA,75%,NA,357.5385632150576,Chart 1.2,2019
2019Q3,Life,NA,25%,NA,143.05467064890087,Chart 1.2,2019
2019Q3,Life,NA,50%,NA,171.5862256381407,Chart 1.2,2019
2019Q3,Life,NA,75%,NA,297.4602729902731,Chart 1.2,2019
2019Q3,Non-Life,NA,25%,NA,154.48472730477602,Chart 1.2,2019
2019Q3,Non-Life,NA,50%,NA,208.327819204138,Chart 1.2,2019
2019Q3,Non-Life,NA,75%,NA,342.405792018042,Chart 1.2,2019
2019Q4,Life,NA,25%,NA,148.23482342435156,Chart 1.2,2019
2019Q4,Life,NA,50%,NA,180.0684236096107,Chart 1.2,2019
2019Q4,Life,NA,75%,NA,307.76235408932007,Chart 1.2,2019
2019Q4,Non-Life,NA,25%,NA,160.1122427532555,Chart 1.2,2019
2019Q4,Non-Life,NA,50%,NA,216.0378377582368,Chart 1.2,2019
2019Q4,Non-Life,NA,75%,NA,343.3481022789078,Chart 1.2,2019
2020Q1,Life,NA,25%,NA,147.67644282390867,Chart 1.2,2020
2020Q1,Life,NA,50%,NA,182.7556364448355,Chart 1.2,2020
2020Q1,Life,NA,75%,NA,310.3976816921737,Chart 1.2,2020
2020Q1,Non-Life,NA,25%,NA,150.38399324917492,Chart 1.2,2020
