h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
20,-0.0023445680062446172,0.0026451046401057476,-6.698822611281637e-18,0.000797922662976114,0.0,0.0,0.0,0.0,-0.0003606461567914819,-0.00021638769407488883,-0.00013093801844850833,-6.54690092242543e-05,-0.001753077596609375,-0.0010260691170511347,-0.0007270084795582395,-0.005192917711130289,-0.0010432203879142047,0.0,0.0017530775966093683,-0.0017396932558358864
21,-0.0017396932558358864,0.0017530775966093683,-4.923634619292002e-18,0.0005585458640832796,0.0,0.0,0.0,0.0,-0.0003126154272543761,-0.0001875692563526255,-0.00011349973876136041,-5.6749869380680356e-05,-0.001141776282714841,-0.0006365757274403923,-0.0005052005552744485,-0.0036085753948174944,-0.0007780781181913297,0.0,0.001141776282714836,-0.001303163313996841
22,-0.0013031633139968409,0.001141776282714836,-3.6106653874808004e-18,0.00039098210485829555,0.0,0.0,0.0,0.0,-0.0002709814135464104,-0.00016258884812784603,-9.838388308864627e-05,-4.9191941544323245e-05,-0.0007252359799383597,-0.00037480749038941983,-0.0003504284895489399,-0.002503060639635289,-0.0005861093661468331,0.0,0.0007252359799383561,-0.0009862217377598174
23,-0.0009862217377598174,0.0007252359799383562,-2.6423505790200395e-18,0.0002736874734008068,0.0,0.0,0.0,0.0,-0.00023489220328163675,-0.00014093532196898196,-8.528115180909688e-05,-4.264057590454855e-05,-0.000443514050139898,-0.00020099824698973116,-0.0002425158031501665,-0.001732255736786906,-0.0004462103194187235,0.0,0.0004435140501398953,-0.0007545063522488257
24,-0.0007545063522488259,0.00044351405013989505,-1.9300647707624632e-18,0.00019158123138056469,0.0,0.0,0.0,0.0,-0.00020360934146892027,-0.0001221656048813521,-7.392343771726504e-05,-3.6961718858632614e-05,-0.00025485232520322087,-8.750461179884864e-05,-0.00016734771340437213,-0.0011953408100312316,-0.0003434953406541241,0.0,0.0002548523252032189,-0.0005837619564688856
25,-0.0005837619564688855,0.0002548523252032189,-1.4073388953476289e-18,0.00013410686196639523,0.0,0.0,0.0,0.0,-0.000176492720295618,-0.00010589563217737076,-6.407834003193484e-05,-3.203917001596749e-05,-0.00013019490654548216,-1.5143447010528e-05,-0.00011505145953495406,-0.0008217961395353875,-0.00026744656013858565,0.0,0.00013019490654548075,-0.00045683509062499216
26,-0.0004568350906249922,0.0001301949065454807,-1.0245427158130735e-18,9.387480337647662e-05,0.0,0.0,0.0,0.0,-0.0001529874812846053,-9.179248877076314e-05,-5.554440902698014e-05,-2.7772204513490135e-05,-4.935420191055982e-05,2.936848373608417e-05,-7.872268564664385e-05,-0.0005623048974760286,-0.00021061658693115914,0.0,4.93542019105588e-05,-0.00036156679610877207
27,-0.0003615667961087721,4.9354201910558736e-05,-7.447637434179647e-19,6.571236236353361e-05,0.0,0.0,0.0,0.0,-0.00013261266181746628,-7.956759709047974e-05,-4.814702398062911e-05,-2.407351199031461e-05,1.6697481407889443e-06,5.520379152615948e-05,-5.353404338537045e-05,-0.00038238602418121825,-0.00016771866980629506,0.0,-1.669748140789689e-06,-0.0002893144467543212
28,-0.0002893144467543212,-1.6697481407896761e-06,-5.406433100367446e-19,4.5998653654473514e-05,0.0,0.0,0.0,0.0,-0.00011495135370977125,-6.897081222586274e-05,-4.173482009800956e-05,-2.0867410049004824e-05,3.2563053907787705e-05,6.867438435677719e-05,-3.61113304489894e-05,-0.0002579380746356391,-0.00013498830437395185,0.0,-3.256305390778825e-05,-0.00023391434293726024
29,-0.00023391434293726024,-3.256305390778819e-05,-3.919663997766397e-19,3.2199057558131446e-05,0.0,0.0,0.0,0.0,-9.964217246387072e-05,-5.978530347832242e-05,-3.6176591294905265e-05,-1.8088295647452673e-05,5.0007295301017184e-05,7.410418395938654e-05,-2.4096888658369294e-05,-0.0001721206332740668,-0.00010973505303164017,0.0,-5.000729530101758e-05,-0.00019095319762164791
