h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
23,0.0014965439979954583,0.001496543997995458,-6.554993962883813e-20,3.316463220253128e-20,2.990509867830015e-21,-2.0791402265902467e-19,0.00027368747340080575,0.0,0.0009208656135503943,0.0005525193681302366,0.0003343341289655647,0.0001671670644827827,-0.0012990773328313055,-0.0012449198272327612,-5.415750559854468e-05,-0.0003868393257038906,0.0007235644560879406,0.00010126436515829818,0.0012990773328313055,0.0012990773328313053
24,0.0012990773328313053,0.001299077332831305,-4.7879955902803494e-20,2.422460091315327e-20,2.184372425197575e-21,-1.5186763394224406e-19,0.00019158123138056393,0.0,0.0007982250519041677,0.00047893503114250063,0.0002898076261290084,0.0001449038130645045,-0.0011273564463911915,-0.0010799849592211266,-4.737148717006505e-05,-0.0003383677655004646,0.0006286074308990039,7.088505561080868e-05,0.0011273564463911915,0.0011273564463911915
25,0.0011273564463911913,0.0011273564463911909,-3.49124678457942e-20,1.7663771499174254e-20,1.5927715600398975e-21,-1.107368164162196e-19,0.00013410686196639468,0.0,0.0006919177175384261,0.00041515063052305573,0.0002512111474302453,0.0001256055737151229,-0.0009781183537203165,-0.0009367571231989221,-4.136123052139466e-05,-0.0002954373608671047,0.0005458746381384264,4.9619538927566054e-05,0.0009781183537203165,0.0009781183537203165
26,0.0009781183537203165,0.000978118353720316,-2.541627659173817e-20,1.285922565139885e-20,1.1595376957090448e-21,-8.061640235100785e-20,9.387480337647623e-05,0.0,0.0005997683569333306,0.0003598610141599984,0.00021775493432021767,0.00010887746716010905,-0.0008484848843972801,-0.0008124230650911456,-3.606181930613442e-05,-0.0002575844236152458,0.0004738646921224204,3.473367724929623e-05,0.0008484848843972801,0.00084848488439728
27,0.0008484848843972801,0.0008484848843972797,-1.847567798399428e-20,9.347667877363005e-21,8.428947095731128e-22,-5.860192324746339e-20,6.571236236353333e-05,0.0,0.0005198914160751054,0.00031193484964506333,0.00018875440801833376,9.437720400916707e-05,-0.0007359263576684488,-0.0007045208947553268,-3.140546291312212e-05,-0.0002243247350937294,0.00041123817118970355,2.4313574074507345e-05,0.0007359263576684488,0.0007359263576684488
28,0.0007359263576684489,0.0007359263576684486,-1.3411973647640288e-20,6.78571445912277e-21,6.118791225049261e-22,-4.254065539445489e-20,4.5998653654473304e-05,0.0,0.0004506524583767315,0.00027039147502603894,0.00016361616170754064,8.180808085377048e-05,-0.000638225617935314,-0.0006109002827349524,-2.7325335200361703e-05,-0.00019518096571686928,0.0003568074443893642,1.7019501852155136e-05,0.000638225617935314,0.000638225617935314
29,0.000638225617935314,0.0006382256179353138,-9.723680894539205e-21,4.919642982864005e-21,4.436123638160712e-22,-3.084197516097978e-20,3.21990575581313e-05,0.0,0.00039063472094652335,0.00023438083256791404,0.00014182581828397822,7.091290914198926e-05,-0.0005534437258171362,-0.0005296858606115363,-2.375786520560006e-05,-0.00016969903718285756,0.000309524433946902,1.1913651296508588e-05,0.0005534437258171362,0.0005534437258171362
30,0.0005534437258171362,0.000553443725817136,-7.041286165011147e-21,3.5625000910394504e-21,3.2123653931508583e-22,-2.23338440820888e-20,2.2539340290691894e-05,0.0,0.0003386101248812074,0.00020316607492872445,0.00012293750520730486,6.146875260365256e-05,-0.00047988802454973565,-0.0004592440275163419,-2.0643997033393907e-05,-0.0001474571216670993,0.0002684676141507871,8.339555907556007e-06,0.00047988802454973565,0.00047988802454973565
31,0.00047988802454973565,0.00047988802454973544,-5.093196992691395e-21,2.5768750658518675e-21,2.323610967712453e-22,-1.6154813886044227e-20,1.5777538203484317e-05,0.0,0.0002935141463980695,0.0001761084878388417,0.00010656473108679016,5.328236554339519e-05,-0.00041608292354883844,-0.0003981531496212139,-1.7929773927624573e-05,-0.00012806981376874694,0.00023282906636378338,5.837689135289202e-06,0.00041608292354883844,0.00041608292354883844
32,0.00041608292354883844,0.0004160829235488383,-3.680245568912491e-21,1.8620000475832843e-21,1.6789963121535132e-22,-1.1673155840238406e-20,1.1044276742439016e-05,0.0,0.0002544240346209702,0.00015265442077258212,9.237247732049418e-05,4.6186238660247185e-05,-0.00036074349798935034,-0.00034517700904817357,-1.5566488941176788e-05,-0.00011118920672269133,0.00020190208529205842,4.086382394702439e-06,0.00036074349798935034,0.00036074349798935034
