h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
11,-0.025936892193447147,-0.02593689219344702,5.2913418626988464e-17,2.1284879031896425e-17,0.019773267429999988,0.0,0.0,0.0,-0.01751063612900681,-0.010506381677404085,-0.006357500151680983,-0.003178750075840498,0.042711401385901876,0.03572422526380414,0.006987176122097736,0.0696816683021267,-0.005157494418923591,0.0,-0.022938133955901836,-0.02293813395590193
12,-0.022938133955901923,-0.022938133955901822,4.040661058788209e-17,1.6253907624357267e-17,0.01384128720099999,0.0,0.0,0.0,-0.0151785757088502,-0.009107145425310121,-0.005510810495997083,-0.0027554052479985473,0.03404338408782809,0.02897245158395305,0.005070932503875039,0.050062233657250294,-0.005932261623516036,0.0,-0.020202096886828058,-0.02020209688682813
13,-0.020202096886828124,-0.020202096886828044,3.064167969581058e-17,1.2325879948470925e-17,0.009688901040699992,0.0,0.0,0.0,-0.013157098283120163,-0.007894258969872099,-0.004776882673728566,-0.002388441336864288,0.02742368863593568,0.02371808691185589,0.0037056017240797877,0.036157484784127066,-0.006165353447240389,0.0,-0.017734787595235658,-0.017734787595235713
14,-0.017734787595235706,-0.017734787595235644,2.3099112386072583e-17,9.291817191924234e-18,0.006782230728489994,0.0,0.0,0.0,-0.011404840516804777,-0.006842904310082868,-0.004140699103179659,-0.002070349551589834,0.022311344743715076,0.01958224379517673,0.002729100948538345,0.02627580893233533,-0.0060604576749689835,0.0,-0.015529114015225057,-0.015529114015225097
15,-0.015529114015225094,-0.015529114015225047,1.7324334289554432e-17,6.968862893943174e-18,0.004747561509942996,0.0,0.0,0.0,-0.00988594782944086,-0.005931568697664517,-0.0035892422389537373,-0.0017946211194768726,0.01831788100793609,0.01629033379318668,0.0020275472147494103,0.01923004161529594,-0.005754670729436442,0.0,-0.013570319497993078,-0.01357031949799311
16,-0.013570319497993106,-0.01357031949799307,1.293550293620064e-17,5.203417627477569e-18,0.003323293056960097,0.0,0.0,0.0,-0.008569340741102043,-0.005141604444661227,-0.003111228207815678,-0.0015556141039078423,0.015162879365805244,0.013642025296923706,0.0015208540688815384,0.014186536406113951,-0.005339205573823105,0.0,-0.011839586308845134,-0.011839586308845157
17,-0.011839586308845157,-0.01183958630884513,9.620780308799223e-18,3.870041860436442e-18,0.002326305139872068,0.0,0.0,0.0,-0.007428078926172593,-0.004456847355703556,-0.002696875918837286,-0.0013484379594186455,0.01264268953244338,0.011490047858540391,0.001152641673902989,0.010559459953464854,-0.004873789956634652,0.0,-0.010316384392571303,-0.01031638439257132
18,-0.010316384392571317,-0.010316384392571298,7.130695993580599e-18,2.868383967147009e-18,0.0016284135979104473,0.0,0.0,0.0,-0.006438809962218111,-0.0038632859773308674,-0.0023377069233731194,-0.0011688534616865623,0.010608378555566685,0.009725211204185102,0.0008831673513815842,0.007936751822064627,-0.004396660852828386,0.0,-0.00897996495765623,-0.008979964957656243
19,-0.008979964957656243,-0.008979964957656225,5.268792039701219e-18,2.1194170423919562e-18,0.001139889518537313,0.0,0.0,0.0,-0.0055812914942896365,-0.0033487748965737828,-0.0020263719296150294,-0.0010131859648075169,0.008950165002613539,0.008265793705578638,0.0006843712970349005,0.006028255925929463,-0.003931487473390719,0.0,-0.007810275484076221,-0.007810275484076231
20,-0.007810275484076231,-0.007810275484076217,3.8822678187272134e-18,1.5616757154467043e-18,0.000797922662976119,0.0,0.0,0.0,-0.004837977037219263,-0.0029027862223315578,-0.0017565004218778853,-0.0008782502109389446,0.007586409770681094,0.007050006098484513,0.000536403672196582,0.004629377464380279,-0.0034921540081579755,0.0,-0.006788487107704971,-0.006788487107704978
