h,bS_lag,bL_lag,lambda_L,chi,V_liab,g,tau,u_i,c,y,pi,i,QL,QL_fund,omega,R,v,s,bL,bS
21,-0.015486038728093985,-0.01548603872809398,1.7749467470383124e-20,1.565723675888407e-19,9.21799179773264e-20,0.0005585458640832833,0.0,0.0,-0.009519770998461564,-0.005488444253443626,-0.0034029888732296145,-0.0017014944366148107,0.013452965895646166,0.012869344252182956,0.0005836216434632118,0.004168726024737226,-0.007540532152913197,-0.00022341834563331336,-0.013452965895646166,-0.013452965895646166
22,-0.013452965895646166,-0.01345296589564616,1.3016276144947605e-20,1.1481973623181648e-19,6.759860651670603e-20,0.00039098210485829826,0.0,0.0,-0.008259752901599235,-0.004799458899016222,-0.00296151253347713,-0.001480756266738568,0.011681851271514804,0.011175025577431351,0.0005068256940834549,0.003620183529167535,-0.006546968807310359,-0.00015639284194331933,-0.011681851271514804,-0.011681851271514804
23,-0.011681851271514804,-0.0116818512715148,9.525547542438917e-21,8.402717060601114e-20,4.94698893144985e-20,0.0002736874734008088,0.0,0.0,-0.007165197069369888,-0.00418964325226161,-0.002575312098967907,-0.0012876560494839563,0.01014044906976233,0.009700470840611555,0.0004399782291507754,0.003142701636791252,-0.005682523252010199,-0.00010947498936032353,-0.01014044906976233,-0.01014044906976233
24,-0.01014044906976233,-0.010140449069762327,6.957791248390155e-21,6.13763680948255e-20,3.6134527847111944e-20,0.00019158123138056615,0.0,0.0,-0.006214771246986386,-0.0036522302556396056,-0.0022380818718674518,-0.001119040935933728,0.0088000154718908,0.008418177406916659,0.00038183806497414424,0.002727414749815316,-0.004930961013668605,-7.663249255222647e-05,-0.0088000154718908,-0.0088000154718908
25,-0.008800015471890802,-0.008800015471890799,5.073389451951148e-21,4.475360173581025e-20,2.6348093221852457e-20,0.00013410686196639628,0.0,0.0,-0.005389773016329155,-0.0031802210650109346,-0.0019440391665909542,-0.0009720195832954792,0.007635079990567922,0.0073037757978944426,0.0003313041926734816,0.0023664585190962964,-0.004277921303748671,-5.364274478655853e-05,-0.007635079990567922,-0.007635079990567922
26,-0.007635079990567924,-0.0076350799905679214,3.6934275210204304e-21,3.258062206366986e-20,1.9181411865508587e-20,9.387480337647739e-05,0.0,0.0,-0.004673842910893138,-0.002766755825185292,-0.0016879496887314911,-0.0008439748443657474,0.006623175956693482,0.006335771309266117,0.0002874046474273653,0.0020528903387668947,-0.0037107540068400738,-3.7549921350590964e-05,-0.006623175956693482,-0.006623175956693482
27,-0.006623175956693482,-0.00662317595669348,2.68483769797254e-21,2.3683606038590776e-20,1.394341093300432e-20,6.571236236353417e-05,0.0,0.0,-0.004052696731282704,-0.002405333093824209,-0.0014651210239761763,-0.0007325605119880898,0.00574455697165311,0.005495272372846719,0.00024928459880639174,0.001780604277188512,-0.0032183524213144905,-2.6284944945413673e-05,-0.00574455697165311,-0.00574455697165311
28,-0.00574455697165311,-0.005744556971653108,1.9489932918615446e-21,1.7192543642828855e-20,1.0121883492106838e-20,4.5998653654473914e-05,0.0,0.0,-0.003513880206143255,-0.0020899286622241635,-0.0012713770371275358,-0.0006356885185637692,0.0049819161724462685,0.004765721728127321,0.00021619444431894796,0.001544246030849628,-0.002790990105270303,-1.8399461461789568e-05,-0.0049819161724462685,-0.0049819161724462685
29,-0.0049819161724462685,-0.004981916172446267,1.413020136599618e-21,1.2464594141050917e-20,7.338365531777457e-21,3.219905755813174e-05,0.0,0.0,-0.0030465470139797906,-0.0018150485853646219,-0.00110302171072723,-0.0005515108553636162,0.004320118420045559,0.004132640039430139,0.00018747838061542092,0.0013391312901101491,-0.002420166732101189,-1.2879623023252697e-05,-0.004320118420045559,-0.004320118420045559
30,-0.0043201184200455595,-0.004320118420045558,1.0232214782273083e-21,9.026085412485144e-21,5.3139888333560894e-21,2.2539340290692216e-05,0.0,0.0,-0.002641259848653071,-0.001575740173075566,-0.0009567980206903329,-0.00047839901034516744,0.00374595102935829,0.003583387308210134,0.00016256372114815612,0.0011611694367725436,-0.002098465571542928,-9.015736116276888e-06,-0.00374595102935829,-0.00374595102935829
31,-0.00374595102935829,-0.0037459510293582888,7.401302025844188e-22,6.528868448364253e-21,3.843785256127571e-21,1.577753820348455e-05,0.0,0.0,-0.002289813415394185,-0.0013675770339551176,-0.0008298454436040509,-0.0004149227218020263,0.003247895709063775,0.0031069446155011387,0.00014095109356263661,0.001006793525447404,-0.0018194237189483305,-6.311015281393821e-06,-0.003247895709063775,-0.003247895709063775
