h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
20,0.0002805619475706398,0.00028056194757063906,-1.1326664459606641e-16,2.1425693912316583e-19,-9.92284787872964e-20,1.2341322330728147e-19,0.0007979226629761088,0.0,0.0,0.00011712448714214383,0.000787987508902248,0.0005229486709522636,0.00014637480034158706,7.318740017079345e-05,-0.0001964868630077428,-0.00020392165081247433,1.73573743866224e-05,-0.00039311117620599535,-3.9743244161343035e-05,-0.00015958453259522177
21,0.00019648686300774318,0.00019648686300774266,-1.1327984013342835e-16,1.5747885025552688e-19,-7.293293190866282e-20,9.070871913085181e-20,0.0005585458640832758,0.0,0.0,8.199245540305409e-05,0.0005523205675144125,0.000366359343775766,0.00010251350782981592,5.1256753914907905e-05,-0.00013758844983135073,-0.00014279090633078295,1.2150673215915363e-05,-0.00027529623501706447,-2.7820094845353157e-05,-0.00011170917281665515
22,0.000137588449831351,0.00013758844983135062,-1.1325899944981078e-16,1.1548449018738635e-19,-5.3484150066352716e-20,6.651972736262461e-20,0.0003909821048582928,0.0,0.0,5.739742690421115e-05,0.0003869960408310798,0.00025660200688011083,7.178551934922155e-05,3.589275967461074e-05,-9.633619426464893e-05,-9.997694817562031e-05,8.505731721336074e-06,-0.0001927677049153661,-1.94739766709524e-05,-7.819642097165856e-05
23,9.633619426464913e-05,9.633619426464886e-05,-1.1321318880032377e-16,8.451364963713274e-20,-3.9140673457649017e-20,4.868034593355707e-20,0.0002736874734008048,0.0,0.0,4.0179578842074834e-05,0.0002710866112871597,0.00017969807963379917,5.026314521078657e-05,2.513157260539326e-05,-6.74477083106496e-05,-6.999574397669538e-05,5.954144935733526e-06,-0.00013496814179690949,-1.3631737949603716e-05,-5.473749468016095e-05
24,6.744770831064976e-05,6.744770831064957e-05,-1.131491081147786e-16,6.17317093001665e-20,-2.858970930819579e-20,3.5557817899293835e-20,0.0001915812313805632,0.0,0.0,2.812640841673078e-05,0.00018985713383273985,0.00012582772781581956,3.519096973961496e-05,1.759548486980746e-05,-4.721970052617774e-05,-4.9003074741778106e-05,4.167969092172306e-06,-9.44933680527914e-05,-9.542193266620604e-06,-3.831624627611264e-05
25,4.721970052617786e-05,4.721970052617771e-05,-1.1307169481973926e-16,4.5012704698038074e-20,-2.0846663037226088e-20,2.5927575551568405e-20,0.00013410686196639414,0.0,0.0,1.9688844243449074e-05,0.00013294917132472135,8.809931987801378e-05,2.4637127712549268e-05,1.2318563856274622e-05,-3.305700313156249e-05,-3.4305237304580647e-05,2.9176128311620326e-06,-6.615334216579892e-05,-6.6795234143499624e-06,-2.6821372393278828e-05
26,3.305700313156258e-05,3.305700313156247e-05,-1.129845783366301e-16,3.276924902017171e-20,-1.5176370691100584e-20,1.8875275001541788e-20,9.387480337647583e-05,0.0,0.0,1.3782373579940462e-05,9.308947994595513e-05,6.167966989056133e-05,1.7247746891939144e-05,8.623873445969564e-06,-2.314153935697119e-05,-2.4015238164815458e-05,2.042346545371297e-06,-4.6311408284699355e-05,-4.6756603401462806e-06,-1.8774960675295167e-05
27,2.314153935697125e-05,2.3141539356971172e-05,-1.1289042050628136e-16,2.3820723326201742e-20,-1.1032054079300036e-20,1.3720872981889983e-20,6.571236236353304e-05,0.0,0.0,9.647754560496538e-06,6.517540608512477e-05,4.3180939125504965e-05,1.2074318410437004e-05,6.037159205218495e-06,-1.619991181890864e-05,-1.681146780387211e-05,1.429651531818343e-06,-3.242005916879033e-05,-3.2729591551840476e-06,-1.3142472472706608e-05
28,1.6199911818908686e-05,1.6199911818908632e-05,-1.1279116947921993e-16,1.7292080636798297e-20,-8.008454072380762e-21,9.960337423890499e-21,4.59986536544731e-05,0.0,0.0,6.753475611316509e-06,4.5629291678494596e-05,3.0229292027439358e-05,8.452479261445615e-06,4.226239630722803e-06,-1.1340363401356953e-05,-1.1768435682639356e-05,1.00076063305092e-06,-2.269509796907545e-05,-2.291069837628917e-06,-9.19973073089462e-06
29,1.1340363401356983e-05,1.1340363401356944e-05,-1.1268824835404944e-16,1.2536758461678764e-20,-5.806129202476051e-21,7.221244632320607e-21,3.219905755813115e-05,0.0,0.0,4.72745709184644e-06,3.194382023544171e-05,2.1161846982921166e-05,5.91696804285226e-06,2.958484021426127e-06,-7.938471018414335e-06,-8.238112999201879e-06,7.005347672174609e-07,-1.5887106977291607e-05,-1.6037480857860593e-06,-6.43981151162623e-06
