h,bS_lag,bL_lag,WtA,lambda_L,chi,V_liab,g,tau,u_i,cA,cB,y,pi,i,QL,QL_fund,omega,X,v,s
23,1.2671511773499395,1.2671511773499384,-1.082565586706721,0.00027368747340080976,0.0,0.0,0.0,0.0,0.0,6.1181212816647745,-6.0479734327854695,0.0041329219167258735,0.04053160431928865,0.020265802159643076,-1.2662220496913592,-0.7750763842386132,-0.4272419133191705,-5.65025927490231,0.10575839524652637,0.0
24,1.2662220496913594,1.2662220496913583,-1.0815736978273691,0.00019158123138056685,0.0,0.0,0.0,0.0,0.0,6.112156131748863,-6.04126249975733,0.004456164337856006,0.04058268874219262,0.020291344371095088,-1.265192492858772,-0.7743566305853781,-0.4269719643471135,-5.646642830926252,0.10568954802735095,0.0
25,1.2651924928587723,1.265192492858771,-1.0805555978246906,0.0001341068619663968,0.0,0.0,0.0,0.0,0.0,6.106151058344253,-6.034756785252823,0.00468102487973332,0.04060626394262057,0.020303131971309035,-1.2640929908620073,-0.7736210237225167,-0.4266550971751211,-5.642419920548438,0.10560969639438104,0.0
26,1.2640929908620078,1.2640929908620064,-1.0795194738134701,9.387480337647777e-05,0.0,0.0,0.0,0.0,0.0,6.100119866607017,-6.028396718276505,0.0048369440074760295,0.040610581791694744,0.020305290895846123,-1.262944893878517,-0.7728745396927895,-0.42630551529677646,-5.637774144808633,0.10552217328531045,0.0
27,1.2629448938785175,1.2629448938785162,-1.0784710564502797,6.571236236353445e-05,0.0,0.0,0.0,0.0,0.0,6.09407221898477,-6.022140505673823,0.004944567151193402,0.04060142501453279,0.020300712507265145,-1.2617631526411552,-0.7721206672436668,-0.42593316096545053,-5.632834037623595,0.1054293117469918,0.0
28,1.2617631526411555,1.2617631526411541,-1.0774143568712657,4.5998653654474124e-05,0.0,0.0,0.0,0.0,0.0,6.088014877703525,-6.0159588437275495,0.00501836501897257,0.04058284478187513,0.020291422390936315,-1.2605582353355678,-0.7713618511965643,-0.4255449935979964,-5.627689578628061,0.1053327448918699,0.0
29,1.260558235335568,1.260558235335567,-1.0763521825486002,3.2199057558131887e-05,0.0,0.0,0.0,0.0,0.0,6.081952574669097,-6.0098311942324925,0.00506847674037636,0.04055767857011555,0.0202788392850565,-1.2593374708684153,-0.7705998041880842,-0.42514588464188424,-5.6224037557423046,0.10523361587280623,0.0
30,1.2593374708684157,1.2593374708684146,-1.0752864983899957,2.253934029069232e-05,0.0,0.0,0.0,0.0,0.0,6.075888620479941,-6.003743166515172,0.005102004614592648,0.04052791345107837,0.020263956725537935,-1.2581059898889495,-0.7698357255935195,-0.42473924397432433,-5.617020660793169,0.10513272486816783,0.0
31,1.25810598988895,1.2581059898889486,-1.0742186795083668,1.5777538203484626e-05,0.0,0.0,0.0,0.0,0.0,6.069825330777843,-5.997684679123715,0.005123922751569143,0.04049494079628985,0.020247470398143647,-1.256867383878059,-0.7690704551323776,-0.4243274583776406,-5.611571157378128,0.1050306319727713,0.0
32,1.2568673838780595,1.2568673838780584,-1.0731496881605913,1.1044276742439238e-05,0.0,0.0,0.0,0.0,0.0,6.063764324714659,-5.991648670093941,0.005137714301722607,0.04045973477452647,0.020229867387261985,-1.2556241667011567,-0.7683045805752213,-0.4239121984699883,-5.606076848843698,0.10492772922224784,0.0
33,1.255624166701157,1.2556241667011558,-1.072080197604644,7.730993719707468e-06,0.0,0.0,0.0,0.0,0.0,6.05770673388986,-5.985630192649284,0.005145818118514223,0.0404229774043397,0.02021148870216863,-1.254378097792301,-0.7675385132316991,-0.4234946335558142,-5.60055285611166,0.10482429101045758,0.0
34,1.2543780977923014,1.2543780977923,-1.0710106787995888,5.411695603795228e-06,0.0,0.0,0.0,0.0,0.0,6.051653348612334,-5.979625781433321,0.005149941728897378,0.04038514614394112,0.020192573071969283,-1.2531304084325638,-0.7667725408396786,-0.423075582020648,-5.595009762280372,0.10472050938186224,0.0
35,1.2531304084325643,1.253130408432563,-1.069941461095574,3.78818692265666e-06,0.0,0.0,0.0,0.0,0.0,6.045604720286449,-5.973633008486564,0.005151280568906458,0.04034657523119034,0.02017328761559392,-1.2518819601701037,-0.7660068646118535,-0.4226556166071856,-5.589454973908371,0.10461651873627938,0.0
36,1.251881960170104,1.2518819601701026,-1.0688727747168278,2.651730845859662e-06,0.0,0.0,0.0,0.0,0.0,6.03956123308374,-5.967650172233551,0.005150671528189044,0.04030749863538069,0.020153749317689096,-1.250633355727062,-0.7652416251807053,-0.4222351381084088,-5.583893673944807,0.10451241312225765,0.0
37,1.2506333557270621,1.250633355727061,-1.0678047804997557,1.8562115921017636e-06,0.0,0.0,0.0,0.0,0.0,6.03352315411381,-5.961676079673553,0.005148700471762302,0.0402680801305173,0.020134040065257375,-1.2493850166409421,-0.7644769207662632,-0.42181442695270005,-5.578329488797035,0.10440825834246374,0.0
38,1.2493850166409424,1.2493850166409413,-1.0667375907096075,1.2993481144712347e-06,0.0,0.0,0.0,0.0,0.0,6.0274906685443375,-5.95570989386303,0.005145777525916717,0.04022843435019402,0.020114217175095817,-1.2481372376169078,-0.7637128198967411,-0.42139367931338545,-5.572764955286205,0.10430410042746548,0.0
39,1.2481372376169082,1.2481372376169069,-1.0656712836121442,9.095436801298644e-07,0.0,0.0,0.0,0.0,0.0,6.021463904185265,-5.9497510271272995,0.0051421897888872525,0.0401886415278323,0.02009432076391493,-1.2468902245760938,-0.762949370314615,-0.4209730323853976,-5.567201847520414,0.10419997156738628,0.0
